# ornekleri-dogrula.sh sonucu -- 2026-09-07 -- http://localhost:7860
# geçti: 49   kaldı: 62   sunucu: 1
betik	durum	özet
masaustu/installer/examples/anagram/anagram_tr.kojo.installed	kaldı	1 hata: 21: not found: value sözcükDizininiYükle dez sözlük: Dizin[Sözcük] = sözcükDizininiYükle                             ^
masaustu/installer/examples/anagram/tr/sozcuk-dizinini-yukle.kojo	kaldı	2 hata: 39: not found: value installDir     dez path = installDir + s + "examples" + s + "anagram" + s + "tr" + s + "sozcukler.txt"                ^
masaustu/installer/examples/othello/menu_tr.kojo.installed	kaldı	1 hata: 21: To compile XML syntax, the scala.xml package must be on the classpath. Please see https://github.com/scala/scala-xml for details. dez açıklama = <html>     
masaustu/installer/examples/othello/tr/alfabeta.kojo	kaldı	100 hata: 21: not found: type Oda     tanım hamleYap(drm: Durum): Belki[Oda] = {                                       ^
masaustu/installer/examples/othello/tr/anaTanimlar.kojo	geçti	
masaustu/installer/examples/othello/tr/araYuz.kojo	kaldı	78 hata: 22: not found: type ETahta     tahta:      ETahta,                 ^
masaustu/installer/examples/othello/tr/bellek.kojo	kaldı	6 hata: 19: not found: type ETahta sınıf Bellek(tahta: ETahta) {                     ^
masaustu/installer/examples/othello/tr/durum.kojo	kaldı	5 hata: 18: not found: type Tahta sınıf Durum(dez tahta: Tahta, dez sıra: Taş) {                        ^
masaustu/installer/examples/othello/tr/eTahta.kojo	kaldı	100 hata: 21: not found: type Taş     dez kimBaşlar: Taş,                    ^
masaustu/installer/examples/othello/tr/otello.kojo	kaldı	7 hata: 24: not found: value Siyah dez kimBaşlar = Siyah // Beyaz ya da Siyah başlayabilir. Seç :-)                 ^
masaustu/installer/examples/othello/tr/tahta.kojo	kaldı	100 hata: 21: not found: type Taş     tanım drm(t: Taş) = {                  ^
masaustu/installer/examples/tiledgame/game_tr.kojo.installed	kaldı	8 hata: 22: not found: value kurulumDizini satıryaz(s"\nKendi mağaranı kurmak için, '$kurulumDizini/examples/tiledgame/level1.tmx' dosyasını www.mapeditor.org sitesinde
masaustu/src/main/resources/challenge/tr/get-started.kojo	kaldı	1 hata: 168: To compile XML syntax, the scala.xml package must be on the classpath. Please see https://github.com/scala/scala-xml for details.     1 -> <div>          ^
masaustu/src/main/resources/challenge/tr/oykucu.kojo	kaldı	1 hata: 95: To compile XML syntax, the scala.xml package must be on the classpath. Please see https://github.com/scala/scala-xml for details.         <body style="font-
