# ucurum.py tarama sonucu (tanımlayıcı taraması, derleme değil)
betik	durum	satır	engel	eksik
installer/examples/anagram/anagram_tr.kojo.installed	platform	60	yükle	
installer/examples/anagram/tr/sozcuk-dizinini-yukle.kojo	platform	48	dosya	f2
installer/examples/othello/menu_tr.kojo.installed	platform	75	yükle,arayüz	Düğme Salındıraç Sütun Sıra Tanıt arayüz ay değeri
installer/examples/othello/tr/alfabeta.kojo	platform	391	yükle	hepsi
installer/examples/othello/tr/anaTanimlar.kojo	eksik-ad	58		adı
installer/examples/othello/tr/araYuz.kojo	platform	474	yükle	boya düğme
installer/examples/othello/tr/bellek.kojo	platform	59	yükle	
installer/examples/othello/tr/durum.kojo	platform	20	yükle	
installer/examples/othello/tr/eTahta.kojo	platform	153	yükle	
installer/examples/othello/tr/otello.kojo	platform	28	yükle	
installer/examples/othello/tr/tahta.kojo	platform	174	yükle	
installer/examples/tiledgame/game_tr.kojo.installed	platform	268	çini	BirSayfaKostüm aşağıdakiÇiniyeTaşı aşağıdaÇiniVarMı birAdımİleri resimSeç sağdakiÇiniyeTaşı sağdaÇiniVarMı soldakiÇiniyeTaşı soldaÇiniVarMı tuvaliKaydır yukarıdakiÇiniyeTaşı yukarıdaÇiniVarMı ÇiniDünyası ÇiniXY çinidenKojoya İmge
src/main/resources/challenge/tr/get-started.kojo	platform	273	yükle	Üçgen
src/main/resources/challenge/tr/oykucu.kojo	platform	307	öykü	end for rp
src/main/resources/ka-bridge/tr/sample.kojo	platform	29	yükle	
src/main/resources/mathgames/tr/counting.kojo	platform	292	arayüz	TuşUyarlayıcısı TuşaBasmaOlayı Yazıgirdisi arayüz ay değeri değişmez girdiDinleyiciEkle girdiOdağıOl olay sütunSayısınıKur tuşHarfi tuşKodu tüket yatayDüzeniKur yazıyıAl yazıyıKur çerçeveci çerçeveyiKur çizgiKenar önalanıKur
